pool	jp	ko
name	イフリート	이프리트
name	ボム	봄
name	ラミア	라미아
name	フェニックス	피닉스
name	アダマンタイマイ	아다만타이마이
name	サボテンダー	사보텐더
name	ユニコーン	유니콘
name	タイタン	타이탄
name	シヴァ	시바
name	リヴァイアサン	리바이어선
name	ミストドラゴン	미스트 드래곤
name	ビスマルク	비스마르크
name	カーバンクル	카벙클
name	ラムウ	라무
name	ケット・シー	케트 시
name	鉄巨人	철거인
name	オーディーン	오딘
name	バハムート	바하무트
name	トンベリ	톤베리
name	ゴブリン	고블린
name	テュポーン	티폰
name	ギルガメッシュ	길가메시
name	オメガ	오메가
name	アルテマウェポン	알테마 웨폰
name	ラグナロク	라그나로크
name	神竜	신룡
name	チョコボ	초코보
name	マンドラレッド	만드라 레드
name	マンドラゴラ	만드라고라
name	マンドラプリンス	만드라 프린스
name	マンドラキング	만드라 킹
name	マンドラダーク	만드라 다크
name	仮召喚獣	임시 소환수
skill	火炎弾	화염탄
skill	炎の結界	불꽃 결계
skill	焦土	초토
skill	山火事	산불
skill	地獄の火炎	지옥의 화염
skill	火炎弾･改	화염탄·개
skill	炎のダンス	불꽃의 춤
skill	守りのトライアングル	수호 트라이앵글
skill	自爆	자폭
skill	大爆発	대폭발
skill	自爆･改	자폭·개
skill	大爆発･改	대폭발·개
skill	尻尾	꼬리
skill	うたごえ	노랫소리
skill	乙女のキッス	소녀의 키스
skill	ゆうわく	유혹
skill	ゆうわく･改	유혹·개
skill	乙女のキッス･改	소녀의 키스·개
skill	炎の一撃	불꽃 일격
skill	ファイアバリア	파이어 배리어
skill	不死の魂	불사의 혼
skill	転生の炎	전생의 불꽃
skill	転生の炎･改	전생의 불꽃·개
skill	不死の魂･改	불사의 혼·개
skill	鉄壁の守り	철벽 수비
skill	奇跡の甲羅	기적의 등껍질
skill	のろい呪い	저주
skill	マイティガード	마이티 가드
skill	鉄壁の守り･改	철벽 수비·개
skill	奇跡の甲羅･改	기적의 등껍질·개
skill	スピニングニードル	스피닝 니들
skill	まちぶせ	매복
skill	どくばり	독침
skill	針千本	바늘 천 개
skill	光合成	광합성
skill	針千本･改	바늘 천 개·개
skill	突進	돌진
skill	ヒールキック	힐 킥
skill	泉水	샘물
skill	疾風突き	질풍 찌르기
skill	泉水･改	샘물·개
skill	疾風突き･改	질풍 찌르기·개
skill	大地の怒り	대지의 분노
skill	岩石投げ	바위 던지기
skill	大地のこぶし	대지의 주먹
skill	地割れ	땅 가르기
skill	地割れ･改	땅 가르기·개
skill	大地のこぶし･改	대지의 주먹·개
skill	氷の息吹	얼음 숨결
skill	鎮火	진화
skill	スノーカーテン	스노 커튼
skill	ダイヤモンドダスト	다이아몬드 더스트
skill	天からの一撃	하늘의 일격
skill	鎮火･改	진화·개
skill	テールウィップ	테일 윕
skill	サンダーストーム	선더 스톰
skill	湧き水	용천수
skill	タイダルウェイブ	타이달 웨이브
skill	湧き水･改	용천수·개
