pool	jp
name	イフリート
name	ボム
name	ラミア
name	フェニックス
name	アダマンタイマイ
name	サボテンダー
name	ユニコーン
name	タイタン
name	シヴァ
name	リヴァイアサン
name	ミストドラゴン
name	ビスマルク
name	カーバンクル
name	ラムウ
name	ケット・シー
name	鉄巨人
name	オーディーン
name	バハムート
name	トンベリ
name	ゴブリン
name	テュポーン
name	ギルガメッシュ
name	オメガ
name	アルテマウェポン
name	ラグナロク
name	神竜
name	チョコボ
name	マンドラレッド
name	マンドラゴラ
name	マンドラプリンス
name	マンドラキング
name	マンドラダーク
name	仮召喚獣
skill	火炎弾
skill	炎の結界
skill	焦土
skill	山火事
skill	地獄の火炎
skill	火炎弾･改
skill	炎のダンス
skill	守りのトライアングル
skill	自爆
skill	大爆発
skill	自爆･改
skill	大爆発･改
skill	尻尾
skill	うたごえ
skill	乙女のキッス
skill	ゆうわく
skill	ゆうわく･改
skill	乙女のキッス･改
skill	炎の一撃
skill	ファイアバリア
skill	不死の魂
skill	転生の炎
skill	転生の炎･改
skill	不死の魂･改
skill	鉄壁の守り
skill	奇跡の甲羅
skill	のろい呪い
skill	マイティガード
skill	鉄壁の守り･改
skill	奇跡の甲羅･改
skill	スピニングニードル
skill	まちぶせ
skill	どくばり
skill	針千本
skill	光合成
skill	針千本･改
skill	突進
skill	ヒールキック
skill	泉水
skill	疾風突き
skill	泉水･改
skill	疾風突き･改
skill	大地の怒り
skill	岩石投げ
skill	大地のこぶし
skill	地割れ
skill	地割れ･改
skill	大地のこぶし･改
skill	氷の息吹
skill	鎮火
skill	スノーカーテン
skill	ダイヤモンドダスト
skill	天からの一撃
skill	鎮火･改
skill	テールウィップ
skill	サンダーストーム
skill	湧き水
skill	タイダルウェイブ
skill	湧き水･改
skill	タイダルウェイブ･改
skill	霧のブレス
skill	モクモク
skill	アクアブレス
skill	呪縛の冷気
skill	呪縛の冷気･改
skill	アクアブレス･改
skill	雑魚ちらし
skill	のみこむ
skill	バブルブロウ
skill	メイルシュトロム
skill	バブルブロウ･改
skill	のみこむ･改
skill	シャイニングスター
skill	クイックスタンプ
skill	ルビーの光
skill	ホーリーガード
skill	聖なる歌声
skill	ルビーの光･改
skill	感電
skill	雷雲
skill	裁きの雷
skill	電磁場
skill	裁きの雷･改
skill	電磁場･改
skill	メガホン
skill	突撃ラッパ
skill	キャットレイン
skill	マーベラスチアー
skill	マーベラスチアー･改
skill	突撃ラッパ･改
skill	こぶし
skill	タックル
skill	ビーム
skill	兜割り
skill	ビーム･改
skill	兜割り･改
skill	斬鉄剣
skill	グングニルの槍
skill	スレイプニル
skill	暗黒剣
skill	斬鉄剣･改
skill	グングニルの槍･改
skill	奇襲
skill	メガフレア
skill	テラフレア
skill	インパルス
skill	メガフレア･改
skill	テラフレア･改
skill	毒霧
skill	影縫い
skill	包丁
skill	みんなの恨み
skill	みんなの恨み･改
skill	たたく
skill	あばれる
skill	おおごえ
skill	メテオ
skill	たたく･改
skill	ファイアボール
skill	いただきます
skill	鼻息
skill	ボディープレス
skill	天地崩壊
skill	ヒット･ジ･エンド
skill	三段斬り
skill	エクスカリパー
skill	王者の剣
skill	究極幻想
skill	波動砲
skill	アルテマ
skill	メタモルフォース
skill	アトミックレイ
skill	チョコボックル
skill	夢想花
skill	種まき
