# 상점·UI 문구(romdata/UI/DT) — 합언어 낱말 DT_UIRWW(UIRMTCWORDW)는 일본어 자판 정답이라 그대로(docs §19)
# 도전 던전(추억의 거울·시련의 거울) 목록 — 던전 이름은 dgnbanner.NAMES 와 맞춤
@	romdata/UI/DT/DT_UIRCHRMSGTMR.FBC.z	DT_UISHPMSG.FBC/dt_UIRCHRMSG.txtbin
0	『계속 암흑』 \nＬｖ 상한：１０ 룰：계단을 찾아라
1	『푸딩 파르페』 \nＬｖ 상한：１０ 룰：모두 쓰러뜨려라
2	『일직선』 \nＬｖ 상한：１０ 룰：모두 쓰러뜨려라
3	『봄 지옥』 \nＬｖ 상한：１０ 룰：끝까지 가라\n
4	『배고파～』 \nＬｖ 상한：２０ 룰：계단을 찾아라
5	『나만 ＨＰ가 １』 \nＬｖ 상한：２０ 룰：계단을 찾아라
6	『고블린 왕국』 \nＬｖ 상한：１５ 룰：모두 쓰러뜨려라
7	『스피드 오버』 \nＬｖ 상한：３０ 룰：계단을 찾아라
8	『가로 일직선』 \nＬｖ 상한：３０ 룰：모두 쓰러뜨려라
9	『큰 방·중간 방·작은 방』 \nＬｖ 상한：３０ 룰：계단을 찾아라
10	『커다란 월드』 \nＬｖ 상한：３５ 룰：모두 쓰러뜨려라
11	『연속 배틀』 \nＬｖ 상한：６０ 룰：끝까지 가라\n
12	『다가오는 그림자』 \nＬｖ 상한：９０ 룰：끝까지 가라\n
13	『불과 얼음』 \nＬｖ 상한：２０ 룰：끝까지 가라\n
14	『던전 오브 히어로!』 \nＬｖ 상한：９９ 룰：끝까지 가라\n
15	『이상한 던전』 \n시작 Ｌｖ：１оЛ 룰：끝까지 가라\n
16	『전생의 불꽃』 \nＬｖ 상한：６０ 룰：끝까지 가라\n
17	『대해원의 주인』 \nＬｖ 상한：７０ 룰：끝까지 가라\n
18	『성스러운 심판』 \nＬｖ 상한：８０ 룰：끝까지 가라\n
19	『위대한 용왕』 \nＬｖ 상한：９９ 룰：끝까지 가라\n
20	이 던전은 레벨이 제한됩니다 \n가방이 일시적으로 비게 됩니다{13}
21	노멀 던전입니다\n
# 터미널 로커(로봇 말투 — 딱딱한 합니다체)
@	romdata/UI/DT/DT_UISHPMSGA24.FBC.z	DT_UISHPMSG.FBC/dt_UISHPMSG.txtbin
0	{ESC}RD}1~터미널 로커{ESC}WT}1~ 풀 모드 \n더 이상 들어가지 않습니다{13}
1	넣을 수 있는 아이템을 \n갖고 있지 않습니다만?{13}
2	더 이상 아이템을 \n가질 수 없습니다{13}
3	{ESC}RD}1~터미널 로커{ESC}WT}1~ 공백 모드 \n아무것도 들어 있지 않습니다{13}
4	{ESC}RD}1~터미널 로커{ESC}WT}1~ 디나이 모드 \n저주받은 아이템은 들어가지 않습니다{13}
5	길 없음
6	길 가득
7	길 입금 불가\n
8	길 출금 불가{13}
9	길 무리
10	길 없음
11	{ESC}RD}1~터미널 로커{ESC}WT}1~ 록 모드 \n조작을 종료합니다{13}
12	{ESC}RD}1~터미널 로커{ESC}WT}1~ 디포짓 모드 \n아이템을 넣어 주십시오{13}
13	{ESC}RD}1~터미널 로커{ESC}WT}1~ 드로 모드 \n아이템을 꺼내겠습니다{13}
# 보관소 꼬마(반말)
@	romdata/UI/DT/DT_UISHPMSGBRL.FBC.z	DT_UISHPMSG.FBC/dt_UISHPMSG.txtbin
0	앗!미안한데 \n창고가 꽉 찼어!{13}
1	앗!너 \n아이템 없잖아!{13}
2	앗!너 \n아이템을 더 못 들잖아!{13}
3	앗!너한테 \n아이템 맡은 거 없잖아!{13}
4	앗!그 아이템은 \n저주받아서 못 맡아!{13}
5	앗!너 \n길 없잖아!{13}
6	앗!미안한데 \n길은 더 못 맡아!{13}
7	앗!너한테 \n길 맡은 거 없잖아!{13}
8	앗!너 \n길을 더 못 들잖아!{13}
9	길을 맡아 줄까?\n
10	길을 찾아갈래?\n
11	언제든지 기다릴게!\n
12	아이템을 맡아 줄까?\n
13	아이템을 찾아갈래?\n
# 대장간(여자 대장장이 — 부드러운 반말)
@	romdata/UI/DT/DT_UISHPMSGBSF.FBC.z	DT_UISHPMSG.FBC/dt_UISHPMSG.txtbin
0	음～ 너 \n발톱도 안장도 없잖아{13}
1	미안해.합성은 같은 종류의 \n아이템이 두 개 이상 있어야 할 수 있어{13}
2	음～ 너 \n각인이 붙은 물건이 없잖아{13}
3	음～ 너 \n길이 모자라{13}
4	지울 각인을 골라 줘
5	음～ 그건 저주받았네 \n나로서는 다룰 수 없어{13}
6	음～ 그건 더 강하게 못 할지도{13}
7	이걸로 됐다!\n확실하게 단련해 뒀어!{13}
8	해냈어!\n더 강하게 만들었어!!{13}
9	미안해 \n역시 실패하고 말았어{13}
10	실패해도 괜찮다면 더 강하게 해 줄게 \n그리고 자동으로 세이브할게{13}
11	이걸로 됐다!\n확실하게 합성해 뒀어!{13}
12	이걸로 됐다!\n확실하게 각인을 지워 뒀어!{13}
13	음～ 미안해 \n나로서는 다룰 수 없나 봐{13}
14	단련할 아이템을 골라 줘!{13}
