# 아이템 긴 설명(SJIS, DT_ITEM_ALL_TXT1) — 장비 설명은 원문 줄 구조(빈 줄 · 마지막 「기본 공격력：%d」) 그대로
@	romdata/DT/DT_ITEM_ALL_TXT1.FBC	dt_ITEM_ALL_TXT1.txtbin
0	너덜너덜하게 녹슨 발톱 \n안 끼는 것보다는 낫다 \n \n \n기본 공격력：%d
1	가죽으로 만든 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
2	떡갈나무로 만든 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
3	청동으로 강화된 발톱 \n \n \n \n기본 공격력：%d
4	구리로 강화된 발톱 \n \n \n \n기본 공격력：%d
5	철로 강화된 발톱 \n \n \n \n기본 공격력：%d
6	강철로 강화된 발톱 \n \n \n \n기본 공격력：%d
7	산호로 강화된 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
8	미스릴로 강화된 발톱 \n \n \n기본 공격력：%d
9	가넷이 박힌 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
10	에메랄드가 박힌 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
11	사파이어가 박힌 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
12	루비가 박힌 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
13	다이아가 박힌 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
14	플래티나로 강화된 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
15	흑철광으로 만든 강력한 발톱 \n \n \n \n기본 공격력：%d
16	마법 문자로 강화된 발톱 \n \n \n \n기본 공격력：%d
17	티탄으로 강화된 발톱 \n \n \n \n기본 공격력：%d
18	아다만 광석으로 강화된 발톱 \n \n \n \n기본 공격력：%d
19	크리스탈로 강화된 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
20	오리할콘으로 강화된 발톱 \n \n \n \n기본 공격력：%d
21	다마스커스로 강화된 발톱 \n \n \n \n기본 공격력：%d
22	왕자만이 가질 수 있는 발톱 \n \n \n \n기본 공격력：%d
23	머나먼 동방에서 전해진 발톱 \n \n \n \n기본 공격력：%d
24	이르마 일족의 비보 \n \n \n \n기본 공격력：%d
25	궁극의 발톱! \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
26	불의 힘이 깃든 발톱 \n \n \n \n기본 공격력：%d
27	물의 힘이 깃든 발톱 \n \n \n \n기본 공격력：%d
28	얼음의 힘이 깃든 발톱 \n \n \n \n기본 공격력：%d
29	번개의 힘이 깃든 발톱 \n \n \n \n기본 공격력：%d
30	땅의 힘이 깃든 발톱 \n \n \n \n기본 공격력：%d
31	빛의 힘이 깃든 발톱 \n \n \n \n기본 공격력：%d
32	금으로 만든 호화로운 발톱 \n \n \n{ESC}YL}1~녹슬지 않음{ESC}WT}1~ \n기본 공격력：%d
33	적을 가끔 \n독에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
34	성스러운 힘으로 정화된 발톱 \n저주를 막을 수 있다 \n \n \n기본 공격력：%d
35	적을 가끔 \n암흑에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
36	적을 가끔 \n침묵에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
37	적을 가끔 \n수면에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
38	적을 가끔 \n혼란에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
39	적을 가끔 \n슬로에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
40	매우 단단해서 『합성』 \n『단련』을 할 수 없다 \n \n \n기본 공격력：%d
41	이 발톱을 손에 넣은 뒤로 \n금전운이 쑥쑥 업! \n \n \n기본 공격력：%d
42	이 발톱을 손에 넣은 뒤로 \n아주 행복해졌다! \n \n \n기본 공격력：%d
43	적이 길도 아이템도 \n떨어뜨리지 않게 된다 \n \n \n기본 공격력：%d
44	분노로 힘이 늘어나는 발톱 \n \n \n기본 공격력：%d
45	적을 가끔 \n돈무브에 걸리게 할 수 있다 \n \n \n기본 공격력：%d
46	앞쪽 ３방향의 적을 \n넓게 공격할 수 있는 발톱 \n \n \n기본 공격력：%d
47	크리티컬이 잘 나오는 발톱 \n \n \n기본 공격력：%d
48	이 발톱을 손에 넣은 뒤로 \n아이템운이 쑥쑥 업! \n \n \n기본 공격력：%d
49	거인족에게 \n큰 대미지를 주는 발톱 \n \n \n기본 공격력：%d
50	불사족에게 \n큰 대미지를 주는 발톱 \n \n \n기본 공격력：%d
51	악마족에게 \n큰 대미지를 주는 발톱 \n \n \n기본 공격력：%d
52	용족에게 \n큰 대미지를 주는 발톱 \n \n \n기본 공격력：%d
53	정령족에게 \n큰 대미지를 주는 발톱 \n \n \n기본 공격력：%d
54	부유족에게 \n큰 대미지를 주는 발톱 \n \n \n기본 공격력：%d
60	녹슬어 너덜너덜해진 기어 \n \n \n \n기본 공격력：%d
61	가볍고 다루기 쉬운 기어 \n \n \n \n기본 공격력：%d
62	손에 잘 맞아 다루기 쉬운 기어 \n \n \n \n기본 공격력：%d
63	팔에 장착하는 기어 \n \n \n \n기본 공격력：%d
64	파괴를 목적으로 한 기어 \n \n \n \n기본 공격력：%d
65	적이 두려워하는 기어 \n \n \n \n기본 공격력：%d
66	대형이지만 \n아주 다루기 쉬운 기어 \n \n \n기본 공격력：%d
67	여신의 이름을 새긴 기어 \n \n \n \n기본 공격력：%d
68	빛을 쏘는 기어 \n \n \n \n기본 공격력：%d
69	구리로 만든 기어 \n \n \n \n기본 공격력：%d
70	철로 만든 기어 \n \n \n \n기본 공격력：%d
71	마법 광석 미스릴로 \n강화된 기어 \n \n \n기본 공격력：%d
72	흑철광으로 강화된 기어 \n \n \n \n기본 공격력：%d
73	아다만 광석으로 강화된 기어 \n \n \n \n기본 공격력：%d
74	오리할콘으로 강화된 기어 \n \n \n \n기본 공격력：%d
75	다마스커스로 강화된 기어 \n \n \n \n기본 공격력：%d
76	레어메탈로 만든 강력한 기어 \n \n \n \n기본 공격력：%d
77	고대인이 만든 것으로 보이는 \n수수께끼 테크놀로지의 기어 \n \n \n기본 공격력：%d
78	고대의 기술로 만들어진 \n중력 전환 테크놀로지로 \n적을 파괴하는 기어 \n \n기본 공격력：%d
79	고대의 기술로 만들어진 \n중력 전환 테크놀로지로 \n적을 파멸시키는 기어 \n \n기본 공격력：%d
80	고대인이 만든 것으로 보이는 \n이국풍 수수께끼의 기어 \n \n \n기본 공격력：%d
81	이국의 기술로 만들어진 \n귀신의 이름을 딴 기어 \n \n \n기본 공격력：%d
82	이국의 기술로 만들어진 \n명장이 만든 기어 \n \n \n기본 공격력：%d
83	이국의 기술로 만들어진 \n적을 꿰뚫고 베는 \n어느 영웅이 썼다는 기어 \n \n기본 공격력：%d
84	이국의 기술로 만들어진 \n적을 꿰뚫고 끊는 \n전설의 명장이 벼린 기어 \n기본 공격력：%d
85	이국의 신이 \n내려 주었다는 \n적을 꿰뚫고 멸하는 \n무시무시한 기어 \n기본 공격력：%d
86	고대인이 만든 것으로 보이는 \n수수께끼 에너지로 움직이는 기어 \n \n \n기본 공격력：%d
87	고대의 기술로 만들어진 기어 \n음파 에너지를 방출 \n \n \n기본 공격력：%d
88	고대의 기술로 만들어진 기어 \n광자 에너지를 방출 \n \n \n기본 공격력：%d
89	고대의 기술로 만들어진 기어 \n포스 에너지를 방출 \n \n \n기본 공격력：%d
90	고대의 기술로 만들어진 기어 \n원자 에너지를 방출 \n \n \n기본 공격력：%d
91	고대의 기술로 만들어진 기어 \n파동 에너지를 방출 \n절대적인 파괴력 \n \n기본 공격력：%d
92	하늘을 나는 새 \n라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
93	작은 염소 \n라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
94	멈춰 선 독수리 \n라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
95	빛나는 것 \n이라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
96	하얀 양 \n이라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
97	무릎 꿇게 하는 것 \n이라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
98	뒤를 따르는 것 \n이라는 별명을 가진 \n별의 힘을 품은 기어 \n \n기본 공격력：%d
99	창끝 \n이라는 별명을 가진 \n별의 빛을 내뿜는 기어 \n \n기본 공격력：%d
