# 카드 게임 글 원문(tools/pudtext.py) — 경로	형식	번호	원문
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	0	は
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	1	の
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	2	に
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	3	を召喚した！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	4	攻撃ターン！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	5	相手の攻撃をガードした！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	6	はCPが足りない！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	7	ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨはふうじられている！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	8	ガードアビリティ
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	9	やけどをおった！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	10	どくにかかった！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	11	こおりついた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	12	しびれた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	13	ヘイストの効果がついた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	14	スロウの効果がついた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	15	CPを
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	16	個破壊された！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	17	ステータスをリフレッシュ！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	18	CPがすべて同じ色になった！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	19	個チャージした！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	20	個うばわれた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	21	ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨをふうじられた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	22	プロテスの効果がついた！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	23	ガードブレイクに\n失敗した！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	24	おたがい\nようすをみている
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	25	場の空気が\nきんちょうした！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	26	場の空気が\nかねつする！
romdata/PUD/pub/pubmain/ja/battletext.bin.z	table	27	かねつは続いている！
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	0	チョコボ
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	1	サハギン
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	2	ゴーレム
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	3	鉄巨人
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	4	ベヒーモス
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	5	ドルくん
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	6	ヒーローX
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	7	チョッカーズ
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	8	シロマ
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	9	フレイア
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	10	メーア
romdata/PUD/pub/pubmain/ja/charactertext.bin.z	table	11	Mrモーグリ
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	0	見習いデュエリスト
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	1	１０級\nひよっこヒーロー
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	2	９級\n野良デュエリスト
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	3	８級\n下積み時代駆抜け中
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	4	７級\n運がいいだけなのだ
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	5	６級\n推測不可能なアイツ
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	6	５級\n結構板についてきた
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	7	４級\n妄想上ではヒーロー
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	8	３級\nそこそこできるヤツ
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	9	２級\n運じゃなく実力か？
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	10	１級\n期待のデュエリスト
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	11	初段\n半人前ヒーロー
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	12	２段\nそこそこ有名人
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	13	３段\n推理上手な勝負人
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	14	４段\n迅速な読みはプロ級
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	15	５段\n世界の中心は俺
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	16	６段\n冴え渡る俺の読み
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	17	７段\n神業を起こすヤツ
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	18	８段\nＷＡ・ＺＡ・ＳＨＩ
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	19	９段\nＰＵＤヒーロー
romdata/PUD/pub/pubresult/pubresult_shougou_ja_.dat.z	table	20	ヒーローを超えるヒーロー
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	0	あと一回だけ\nお願いします！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	1	もう一度\n対戦したいです！！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	2	連戦！　連戦！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	3	休憩しましょう㎝
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	4	参りました…！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	5	完敗だ…！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	6	強すぎる！！！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	7	悔しいです㎞
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	8	惜しかったのにー！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	9	もう少しで\n勝てそうだったのに！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	10	危なかった…
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	11	互角だな！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	12	いい勝負だったぜー㎝
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	13	見た？！　\n今の華麗な戦い㎜
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	14	どうだ！　\nまいったかー♪
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	15	練習して\n出直します…㎞
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	16	眠くなりました…㎞
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	17	楽しかったー㎜
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	18	すばらしい時間を\nありがとうー！
romdata/PUD/pub/pubresult/pubresult_teikei_ja_.dat.z	table	19	また会いましょう♪
romdata/PUD/pub/pubresult/textdata_ja_.dat.z	table	0	相手プレイヤーが接続を中断したので\n対戦を終了します
romdata/PUD/pub/pubresult/textdata_ja_.dat.z	table	1	フレンドリストに追加しました
romdata/PUD/pub/pubresult/textdata_ja_.dat.z	table	2	フレンドリストがいっぱいです\nフレンドリストは　２０人までしか登録できないので\n新しく登録する場合は\nいずれかをフレンドリストから消してください
romdata/PUD/pub/pubresult/textdata_ja_.dat.z	table	3	すでにフレンドリストに登録されています
romdata/PUD/pub/pubresult/textdata_ja_.dat.z	table	4	相手プレイヤーの応答がありません\n時間切れのため対戦を終了します
romdata/PUD/pub/errortext_ja_.dat.z	table	0	Wi-Fiコネクションに\n接続できません。\n詳しくはガイドブックを\nご覧ください。
romdata/PUD/pub/errortext_ja_.dat.z	table	1	Wi-Fiコネクションが混み合っているか\nサービスが停止しているために\n接続できません。\nしばらく待ってやり直してください。
romdata/PUD/pub/errortext_ja_.dat.z	table	2	お客様のWi-FiコネクションIDは長い間\n使用されなかったため削除されました。\n詳しくはガイドブックをご覧ください。
romdata/PUD/pub/errortext_ja_.dat.z	table	3	このソフトの\nWi-Fiコネクションサービスは\n終了しました。\nご利用ありがとうございました。
romdata/PUD/pub/errortext_ja_.dat.z	table	4	アクセスポイントが混み合っているため\n接続できません。\nしばらく待ってやり直してください。
romdata/PUD/pub/errortext_ja_.dat.z	table	5	アクセスポイントが見つかりません。\nアクセスポイントに近づいて\nもう一度おためしください。
romdata/PUD/pub/errortext_ja_.dat.z	table	6	接続できるアクセスポイントが\n見つかりません。\nWi-Fiコネクション設定で\n接続先の設定をご確認ください。
romdata/PUD/pub/errortext_ja_.dat.z	table	7	ニンテンドーWi-Fiコネクタに\n接続できません。\nWi-Fiコネクション設定で\nニンテンドーWi-Fiコネクタの\n接続をご確認ください。
romdata/PUD/pub/errortext_ja_.dat.z	table	8	Wi-Fiコネクションに\n接続できません。\nWi-Fiコネクション設定で\n接続先の設定をご確認ください。
romdata/PUD/pub/errortext_ja_.dat.z	table	9	相手からの応答がありません。\n既に相手がWi-Fiコネクションに\n接続していないか、相手のフレンドリストから\n登録がなくなった可能性があります。
romdata/PUD/pub/errortext_ja_.dat.z	table	10	通信エラーによってWi-Fiコネクションから\n切断されました。
romdata/PUD/pub/errortext_ja_.dat.z	table	11	通信エラーが発生しました。
romdata/PUD/pub/errortext_ja_.dat.z	table	12	ダウンロードに失敗しました。
romdata/PUD/pub/errortext_ja_.dat.z	table	13	エラーが発生したため、\nWi-Fiコネクションの機能を使用できません。\nリセットしてやり直してください。
romdata/PUD/pub/errortext_ja_.dat.z	table	14	エラーコード：
romdata/PUD/errorproc/textdata_ja_.dat.z	table	0	通信エラーです
romdata/PUD/errorproc/textdata_ja_.dat.z	table	1	Ａボタンまたは下画面へのタッチで
romdata/PUD/errorproc/textdata_ja_.dat.z	table	2	メニュー画面に戻ります
romdata/PUD/errorproc/textdata_ja_.dat.z	table	3	対戦選択メニュー画面に戻ります
romdata/PUD/errorproc/textdata_ja_.dat.z	table	4	Wi-Fiメニューに戻ります
romdata/PUD/errorproc/textdata_ja_.dat.z	table	5	電源を切ってください
romdata/PUD/errorproc/textdata_ja_.dat.z	table	6	タイトル画面へ戻ります
romdata/PUD/errorproc/textdata_ja_.dat.z	table	7	データを書けませんでした\n電源を切って\nカードを差し込み直してください
romdata/PUD/errorproc/textdata_ja_.dat.z	table	8	データを読めませんでした\n電源を切って\nカードを差し込み直してください
romdata/PUD/errorproc/textdata_ja_.dat.z	table	9	データが壊れています
romdata/PUD/wifi/ja/wifitext.bin	table	0	メニューから選択してください
romdata/PUD/wifi/ja/wifitext.bin	table	1	Wi-Fiポップアップデュエルの\nこれまでのつうさんせいせきです
romdata/PUD/wifi/ja/wifitext.bin	table	2	対戦する方法を\n選択してください
romdata/PUD/wifi/ja/wifitext.bin	table	3	フレンドリストに誰も登録されていないため\nフレンドたいせんでは遊べません
romdata/PUD/wifi/ja/wifitext.bin	table	4	対戦相手を探しています\nしばらくお待ちください
romdata/PUD/wifi/ja/wifitext.bin	table	5	検索中です
romdata/PUD/wifi/ja/wifitext.bin	table	6	対戦相手が見つかりました
romdata/PUD/wifi/ja/wifitext.bin	table	7	対戦相手が見つかりませんでした
romdata/PUD/wifi/ja/wifitext.bin	table	8	キャラクターを選択してください
romdata/PUD/wifi/ja/wifitext.bin	table	9	フレンドリストがいっぱいです\nフレンドリストは　２０人までしか登録できないので\n新しく登録する場合は\nいずれかをフレンドリストから消してください
romdata/PUD/wifi/ja/wifitext.bin	table	10	フレンドコードを入力できません\n１度　Wi-Fiポップアップデュエルを\n選択する必要があります
romdata/PUD/wifi/ja/wifitext.bin	table	11	フレンドコードがまだありません\nWi-Fiポップアップデュエルを選択すると、\nフレンドコードが作成され\n確認できるようになります
romdata/PUD/wifi/ja/wifitext.bin	table	12	フレンドリストは　最大２０人まで登録できます\n２０人を超えると登録できないので　その場合は\nいずれかをフレンドリストから消してください\nフレンドリストに追加　フレンドコード入力後\nお互い同時にWi-Fiコネクションに接続すると\nクリスタルの色がグレーから赤に変わり\nフレンド登録が完了します
romdata/PUD/wifi/ja/wifitext.bin	table	13	を消します\n１度消したフレンドは　元には戻りません\n本当に消しますか？
romdata/PUD/wifi/ja/wifitext.bin	table	14	フレンドコードを入力してください
romdata/PUD/wifi/ja/wifitext.bin	table	15	フレンドコードを登録しました
